R;Nome;Squadra;Qt.A;FVM
P;Meret;Napoli;19;74
P;Provedel;Lazio;16;63
P;Silvestri;Udinese;15;34
P;Vicario;Empoli;15;37
P;Szczesny;Juventus;14;62
P;Falcone;Lecce;14;27
P;Rui Patricio;Roma;14;60
P;Onana;Inter;14;57
P;Milinkovic-Savic V.;Torino;13;38
P;Musso;Atalanta;13;46
P;Carnesecchi;Cremonese;12;15
P;Sepe;Salernitana;11;7
P;Maignan;Milan;11;60
P;Montipo';Verona;11;18
P;Di Gregorio;Monza;11;32
P;Consigli;Sassuolo;10;24
P;Audero;Sampdoria;10;12
P;Skorupski;Bologna;9;20
P;Terracciano;Fiorentina;9;38
P;Tatarusanu;Milan;8;4
P;Handanovic;Inter;8;4
P;Dragowski;Spezia;8;18
P;Perin;Juventus;7;4
P;Sportiello;Atalanta;6;1
P;Zoet;Spezia;5;1
P;Ochoa;Salernitana;3;11
P;Pegolo;Sassuolo;2;1
P;Gollini;Napoli;2;1
P;Mirante;Milan;1;1
P;Sarr M.;Cremonese;1;1
P;Lamanna;Monza;1;1
P;Ujkani;Empoli;1;1
P;Berisha;Torino;1;1
P;Marchetti;Spezia;1;1
P;Perilli;Verona;1;1
P;Padelli;Udinese;1;1
P;Perisan;Empoli;1;1
P;Bardi;Bologna;1;1
P;Cordaz;Inter;1;1
P;Pinsoglio;Juventus;1;1
P;Fiorillo;Salernitana;1;1
P;Cragno;Monza;1;1
P;Sirigu;Fiorentina;1;1
P;Cerofolini;Fiorentina;1;1
P;Rossi F.;Atalanta;1;1
P;Ravaglia F.;Bologna;1;1
P;Brancolini;Lecce;1;1
P;Bleve;Lecce;1;1
P;Berardi A.;Verona;1;1
P;Russo A.;Sassuolo;1;1
P;Gemello;Torino;1;1
P;Ravaglia;Sampdoria;1;1
P;Boer;Roma;1;1
P;Adamonis;Lazio;1;1
P;Marfella;Napoli;1;1
P;Zovko;Spezia;1;1
P;Piana;Udinese;1;1
P;Bagnolini;Bologna;1;1
P;Luis Maximiano;Lazio;1;1
P;Svilar;Roma;1;1
P;Sorrentino A.;Monza;1;1
P;Ciezkowski;Cremonese;1;1
P;Saro;Cremonese;1;1
P;Vasquez D.;Milan;1;1
P;Turk;Sampdoria;1;1
D;Dimarco;Inter;19;47
D;Smalling;Roma;19;40
D;Carlos Augusto;Monza;19;37
D;Doig;Verona;18;45
D;Posch;Bologna;18;33
D;Kim;Napoli;16;43
D;Di Lorenzo;Napoli;15;48
D;Danilo;Juventus;15;41
D;Udogie;Udinese;15;36
D;Parisi;Empoli;15;23
D;Mario Rui;Napoli;14;39
D;Romagnoli;Lazio;14;29
D;Hernandez T.;Milan;14;52
D;Bastoni S.;Spezia;14;23
D;Mazzocchi;Salernitana;14;20
D;Baschirotto;Lecce;14;40
D;Valeri;Cremonese;14;19
D;Toloi;Atalanta;12;18
D;Mancini;Roma;12;26
D;Ibanez;Roma;12;21
D;Tomori;Milan;12;26
D;Ebuehi;Empoli;12;10
D;Scalvini;Atalanta;12;24
D;Schuurs;Torino;12;35
D;Juan Jesus;Napoli;11;16
D;Depaoli;Verona;11;14
D;Demiral;Atalanta;11;20
D;Rodrigo Becao;Udinese;11;20
D;Maehle;Atalanta;11;22
D;Dumfries;Inter;11;30
D;Bijol;Udinese;11;15
D;Bastoni;Inter;10;32
D;Gosens;Inter;10;13
D;Darmian;Inter;10;23
D;Bremer;Juventus;10;33
D;Sernicola;Cremonese;10;14
D;Rrahmani;Napoli;10;36
D;Vojvoda;Torino;10;15
D;Perez N.;Udinese;10;16
D;Holm;Spezia;10;20
D;Milenkovic;Fiorentina;9;28
D;Reca;Spezia;9;18
D;Martinez Quarta;Fiorentina;9;13
D;Casale;Lazio;9;28
D;Olivera;Napoli;9;8
D;Skriniar;Inter;8;28
D;Rodriguez R.;Torino;8;12
D;Marusic;Lazio;8;17
D;Lazzari;Lazio;8;30
D;Augello;Sampdoria;8;11
D;Kyriakopoulos;Bologna;8;9
D;Kalulu;Milan;8;25
D;Llorente D.;Roma;8;15
D;Cambiaso;Bologna;8;11
D;Hysaj;Lazio;7;10
D;Izzo;Monza;7;20
D;Biraghi;Fiorentina;7;24
D;Medel;Bologna;7;8
D;Bonucci;Juventus;7;15
D;Calabria;Milan;7;20
D;Luperto;Empoli;7;15
D;Acerbi;Inter;7;25
D;Spinazzola;Roma;7;10
D;Lykogiannis;Bologna;7;9
D;Djidji;Torino;7;12
D;Gallo;Lecce;7;8
D;Ampadu;Spezia;7;13
D;Singo;Torino;7;16
D;Mari';Monza;7;18
D;Ismajli;Empoli;7;13
D;Dodo';Fiorentina;7;18
D;De Vrij;Inter;6;12
D;Faraoni;Verona;6;14
D;Ceccherini;Verona;6;14
D;Hateboer;Atalanta;6;18
D;Umtiti;Lecce;6;17
D;Buongiorno;Torino;6;12
D;Aina;Torino;6;14
D;Lazaro;Torino;6;8
D;Zortea;Sassuolo;6;10
D;Caldirola;Monza;6;12
D;Birindelli;Monza;6;10
D;Gendrey;Lecce;6;11
D;Lucumi';Bologna;6;15
D;Hien;Verona;6;19
D;Ehizibue;Udinese;6;8
D;Patric;Lazio;5;6
D;Ferrari G.;Sassuolo;5;18
D;Fazio;Salernitana;5;9
D;Gravillon;Torino;5;7
D;Marchizza;Sassuolo;5;1
D;Rogerio;Sassuolo;5;14
D;Marlon;Monza;5;13
D;Pellegrini Lu.;Lazio;5;14
D;Gunter;Sampdoria;5;10
D;Troost-Ekong;Salernitana;5;9
D;Soumaoro;Bologna;5;13
D;Erlic;Sassuolo;5;17
D;Ceccaroni;Lecce;5;7
D;Soppy;Atalanta;5;7
D;Ferrari A.;Cremonese;4;10
D;Masina;Udinese;4;6
D;Zappacosta;Atalanta;4;12
D;Bianchetti;Cremonese;4;5
D;Gyomber;Salernitana;4;10
D;Alex Sandro;Juventus;4;14
D;Pezzella Giu.;Lecce;4;8
D;Djimsiti;Atalanta;4;8
D;Bereszynski;Napoli;4;7
D;Palomino;Atalanta;4;17
D;Nuytinck;Sampdoria;4;13
D;Magnani;Verona;4;8
D;Nikolaou;Spezia;4;8
D;Terzic;Fiorentina;4;3
D;Igor;Fiorentina;4;15
D;Toljan;Sassuolo;4;10
D;Dawidowicz;Verona;4;13
D;Celik;Roma;4;7
D;Ballo-Toure';Milan;4;4
D;Stojanovic;Empoli;4;6
D;Amian;Spezia;4;8
D;Bradaric;Salernitana;4;7
D;Daniliuc;Salernitana;4;7
D;Pongracic;Lecce;4;5
D;Zima;Torino;4;6
D;Quagliata;Cremonese;4;4
D;Aiwu;Cremonese;4;4
D;Lochoshvili;Cremonese;4;8
D;Bronn;Salernitana;4;7
D;Thiaw;Milan;4;3
D;Romagnoli S.;Lecce;3;6
D;Ghiglione;Cremonese;3;4
D;De Sciglio;Juventus;3;7
D;Caldara;Spezia;3;8
D;Venuti;Fiorentina;3;5
D;Karsdorp;Roma;3;2
D;Kjaer;Milan;3;11
D;Okoli;Atalanta;3;3
D;Bellanova;Inter;3;4
D;Lovato;Salernitana;3;8
D;Dest;Milan;3;8
D;Amione;Sampdoria;3;9
D;Ruggeri;Atalanta;3;4
D;Zanoli;Sampdoria;3;2
D;De Winter;Empoli;3;8
D;Ruan;Sassuolo;3;7
